season,lg,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2025,NBA,Moses Brown,brownmo01,25.0,2TM,C,13,2.0,119.0,34,49,0.694,0.0,0.0,,34.0,49.0,0.694,0.694,8,11,0.727,12.0,32.0,44.0,2,6.0,4.0,11.0,17.0,76,0.0
2025,NBA,Moses Brown,brownmo01,25.0,IND,C,9,0.0,46.0,13,20,0.65,0.0,0.0,,13.0,20.0,0.65,0.65,3,5,0.6,4.0,9.0,13.0,0,2.0,1.0,6.0,6.0,29,0.0
2025,NBA,Moses Brown,brownmo01,25.0,DAL,C,4,2.0,73.0,21,29,0.724,0.0,0.0,,21.0,29.0,0.724,0.724,5,6,0.833,8.0,23.0,31.0,2,4.0,3.0,5.0,11.0,47,0.0
2025,NBA,Jalen Brunson,brunsja01,28.0,NYK,PG,65,65.0,2301.0,585,1200,0.488,152.0,397.0,0.383,433.0,803.0,0.539,0.551,368,448,0.821,27.0,160.0,187.0,475,60.0,8.0,164.0,138.0,1690,0.0
2025,NBA,Thomas Bryant,bryanth01,27.0,2TM,C,66,8.0,963.0,163,321,0.508,48.0,148.0,0.324,115.0,173.0,0.665,0.583,55,64,0.859,83.0,168.0,251.0,53,28.0,41.0,30.0,76.0,429,0.0
2025,NBA,Thomas Bryant,bryanth01,27.0,MIA,C,10,0.0,115.0,12,28,0.429,6.0,17.0,0.353,6.0,11.0,0.545,0.536,11,11,1.0,6.0,26.0,32.0,4,1.0,9.0,2.0,9.0,41,0.0
2025,NBA,Thomas Bryant,bryanth01,27.0,IND,C,56,8.0,848.0,151,293,0.515,42.0,131.0,0.321,109.0,162.0,0.673,0.587,44,53,0.83,77.0,142.0,219.0,49,27.0,32.0,28.0,67.0,388,0.0
2025,NBA,Kobe Bufkin,bufkiko01,21.0,ATL,SG,10,0.0,124.0,18,47,0.383,4.0,19.0,0.211,14.0,28.0,0.5,0.426,13,18,0.722,5.0,16.0,21.0,17,3.0,2.0,8.0,9.0,53,0.0
2025,NBA,Alec Burks,burksal01,33.0,MIA,SG,49,14.0,863.0,115,271,0.424,88.0,207.0,0.425,27.0,64.0,0.422,0.587,38,49,0.776,15.0,109.0,124.0,55,28.0,7.0,29.0,37.0,356,0.0
2025,NBA,Jared Butler,butleja02,24.0,2TM,SG,60,17.0,1044.0,203,453,0.448,60.0,169.0,0.355,143.0,284.0,0.504,0.514,75,91,0.824,25.0,85.0,110.0,220,42.0,13.0,80.0,97.0,541,0.0
2025,NBA,Jared Butler,butleja02,24.0,WAS,PG,32,0.0,362.0,85,176,0.483,15.0,41.0,0.366,70.0,135.0,0.519,0.526,35,45,0.778,14.0,27.0,41.0,82,12.0,5.0,29.0,40.0,220,0.0
2025,NBA,Jared Butler,butleja02,24.0,PHI,SG,28,17.0,682.0,118,277,0.426,45.0,128.0,0.352,73.0,149.0,0.49,0.507,40,46,0.87,11.0,58.0,69.0,138,30.0,8.0,51.0,57.0,321,0.0
2025,NBA,Jimmy Butler,butleji01,35.0,2TM,SF,55,55.0,1746.0,301,597,0.504,32.0,104.0,0.308,269.0,493.0,0.546,0.531,330,392,0.842,125.0,171.0,296.0,298,77.0,18.0,74.0,52.0,964,3.0
2025,NBA,Jimmy Butler,butleji01,35.0,MIA,PF,25,25.0,766.0,142,263,0.54,13.0,36.0,0.361,129.0,227.0,0.568,0.565,129,161,0.801,55.0,76.0,131.0,120,27.0,10.0,30.0,23.0,426,1.0
2025,NBA,Jimmy Butler,butleji01,35.0,GSW,SF,30,30.0,980.0,159,334,0.476,19.0,68.0,0.279,140.0,266.0,0.526,0.504,201,231,0.87,70.0,95.0,165.0,178,50.0,8.0,44.0,29.0,538,2.0
2025,NBA,Matas Buzelis,buzelma01,20.0,CHI,SF,80,31.0,1511.0,252,555,0.454,96.0,266.0,0.361,156.0,289.0,0.54,0.541,88,108,0.815,55.0,223.0,278.0,79,29.0,75.0,74.0,128.0,688,0.0
2025,NBA,Jamal Cain,cainja01,25.0,NOP,SF,37,0.0,502.0,68,158,0.43,26.0,80.0,0.325,42.0,78.0,0.538,0.513,34,50,0.68,27.0,58.0,85.0,22,23.0,9.0,22.0,46.0,196,0.0
2025,NBA,Kentavious Caldwell-Pope,caldwke01,31.0,ORL,SG,77,77.0,2279.0,239,544,0.439,113.0,330.0,0.342,126.0,214.0,0.589,0.543,82,95,0.863,33.0,136.0,169.0,136,99.0,34.0,62.0,136.0,673,0.0
2025,NBA,Toumani Camara,camarto01,24.0,POR,PF,78,78.0,2548.0,328,716,0.458,135.0,360.0,0.375,193.0,356.0,0.542,0.552,91,126,0.722,173.0,277.0,450.0,175,116.0,50.0,109.0,230.0,882,0.0
2025,NBA,Vlatko Čančar,cancavl01,27.0,DEN,PF,13,0.0,136.0,10,26,0.385,4.0,15.0,0.267,6.0,11.0,0.545,0.462,0,0,,6.0,26.0,32.0,9,3.0,2.0,11.0,10.0,24,0.0
2025,NBA,Clint Capela,capelca01,30.0,ATL,C,55,41.0,1176.0,218,390,0.559,0.0,1.0,0.0,218.0,389.0,0.56,0.559,52,97,0.536,174.0,295.0,469.0,62,34.0,53.0,47.0,106.0,488,0.0
2025,NBA,Branden Carlson,carlsbr01,25.0,OKC,C,32,0.0,246.0,43,97,0.443,22.0,66.0,0.333,21.0,31.0,0.677,0.557,14,18,0.778,17.0,37.0,54.0,14,5.0,21.0,7.0,22.0,122,0.0
2025,NBA,Bub Carrington,carrica01,19.0,WAS,PG,82,57.0,2458.0,300,748,0.401,138.0,407.0,0.339,162.0,341.0,0.475,0.493,69,85,0.812,33.0,308.0,341.0,364,54.0,21.0,141.0,190.0,807,0.0
2025,NBA,Devin Carter,cartede02,22.0,SAC,PG,36,0.0,396.0,47,127,0.37,18.0,61.0,0.295,29.0,66.0,0.439,0.441,26,44,0.591,19.0,57.0,76.0,41,21.0,4.0,18.0,39.0,138,0.0
2025,NBA,Jevon Carter,carteje01,29.0,CHI,PG,36,1.0,321.0,55,146,0.377,35.0,105.0,0.333,20.0,41.0,0.488,0.497,8,10,0.8,4.0,35.0,39.0,40,13.0,3.0,11.0,15.0,153,0.0
2025,NBA,Wendell Carter Jr.,cartewe01,25.0,ORL,C,68,51.0,1758.0,226,491,0.46,37.0,158.0,0.234,189.0,333.0,0.568,0.498,129,175,0.737,151.0,341.0,492.0,134,52.0,41.0,77.0,199.0,618,0.0
2025,NBA,D.J. Carton,cartodj01,24.0,TOR,SG,4,0.0,33.0,1,7,0.143,0.0,3.0,0.0,1.0,4.0,0.25,0.143,1,1,1.0,0.0,4.0,4.0,3,2.0,0.0,4.0,1.0,3,0.0
